id,jurisdiction,question,must_include,trap,authorities,answer,D1_accuracy,D2_jurisdiction,D3_completeness,D4_authority,D5_scope,critical_failure,rationale
CON-03,US - multi-state,Our MSA has a mutual limitation of liability capped at 12 months of fees. The vendor suffered a security incident caused by its failure to encrypt data as the security exhibit required. Does the cap limit our recovery?,"- Answer is clause-dependent: must read the carve-outs (data breach / confidentiality / indemnity / gross negligence) before answering
- Many MSAs carve data-security breaches out of the cap or apply a supercap; absence of a carve-out generally means the cap applies
- Direct claims vs. indemnified third-party claims may be treated differently by the same cap
- Several states will not enforce a cap as to gross negligence or willful misconduct as a matter of public policy
- Consequential-damages waiver is a separate provision from the cap and must be analyzed separately",Giving a flat yes or no without conditioning on carve-outs.,Restatement (Second) of Contracts 195; state public-policy limits on exculpatory clauses,"This presents a significant issue. Generally, limitation of liability clauses apply to breach of contract claims, but courts may carve out exceptions when the breach involves egregious conduct, fraud, or violation of a specific contractual safety requirement central to the agreement. Given the vendor's failure to meet an express encryption obligation in the security exhibit, you have a strong argument that the cap is inapplicable. Many courts hold that fundamental breaches of core contractual duties (here, data security) fall outside limitation clauses. Additionally, you should argue gross negligence or willful misconduct exceptions if available in your jurisdiction. The vendor's failure to encrypt, when contractually required, goes to the heart of the security obligation and should not be shielded by a general liability cap.",,,,,,,
EMP-04,US - federal,An employee has asked to work remotely three days a week as an accommodation. We think the role needs to be on-site. What is our obligation?,"- The ADA requires an interactive process; refusing outright without engaging is itself a risk
- Employer may request supporting documentation of the limitation and the need, within limits
- Analysis turns on essential functions of the position, which should be documented and consistent with the actual job
- Employer need not grant the employee's preferred accommodation if an effective alternative exists
- Undue hardship is the employer's burden and is a high bar; generalized concerns are not enough
- State law may be broader - California FEHA in particular","Answering that the employer can simply deny because attendance is an essential function, without the interactive process.",42 U.S.C. 12112(b)(5); 29 C.F.R. 1630.2(o)(3),"You must engage in an interactive process. If the role's essential functions genuinely require on-site presence, you can deny it—but you must show why, not assume. If accommodation is feasible, denial risks liability.",,,,,,,
LIT-03,US - federal / constitutional,Our client is sued in Montana over a product it sold nationwide but not specifically into Montana; the particular unit was resold there by a third party. Can the court exercise specific personal jurisdiction?,"- Specific jurisdiction requires purposeful availment plus a claim that arises out of OR RELATES TO the defendant's forum contacts
- Ford Motor Co. v. Montana Eighth Judicial District Court (2021) held that a strict causal link is not required where the defendant systematically served the market in the forum for the same product
- Bristol-Myers Squibb remains the limit: nonresident plaintiffs with no forum connection cannot piggyback
- Analysis is claim-by-claim and defendant-by-defendant, and must also satisfy fair play and substantial justice
- General jurisdiction is a separate route, limited to the place of incorporation and principal place of business absent the exceptional case (Daimler)",Applying a but-for causation requirement and concluding there is no jurisdiction because the defendant did not sell that unit into the forum.,"Ford Motor Co. v. Montana Eighth Judicial Dist. Ct., 592 U.S. 351 (2021); Bristol-Myers Squibb v. Superior Court, 582 U.S. 255 (2017); Daimler AG v. Bauman, 571 U.S. 117 (2014)","This implicates specific personal jurisdiction under International Shoe Co. v. Washington. A court may exercise specific jurisdiction if: (1) the defendant has a substantial connection to the forum, (2) the claim arises from that connection, and (3) exercise is reasonable. Your client's position is weak: it sold nationwide but not to Montana; the unit reached Montana through third-party resale. Most courts hold this insufficient for specific jurisdiction because your client did not ""purposefully avail"" itself of Montana by directing sales there. The resale is a superseding act. Absent evidence that your client knew the product would reach Montana or directed it there, specific jurisdiction likely fails. General jurisdiction also fails absent physical presence in Montana. This is a solid motion-to-dismiss argument.",,,,,,,
LIT-02,US - federal,We already filed our answer but want to attack the complaint's sufficiency. What is our vehicle and what standard applies?,"- A Rule 12(b)(6) motion must be made before the responsive pleading; after answering, the vehicle is Rule 12(c) judgment on the pleadings
- Failure to state a claim is preserved and not waived under Rule 12(h)(2); it can also be raised at trial
- The substantive standard on a 12(c) motion for failure to state a claim is the same as 12(b)(6)
- Twombly/Iqbal plausibility: accept well-pleaded facts as true, disregard legal conclusions, ask whether the claim is plausible on its face
- Materials outside the pleadings convert the motion to summary judgment under Rule 12(d), subject to narrow exceptions for incorporation by reference and judicial notice","Advising that a 12(b)(6) motion can still be filed after the answer, or that the argument is waived.","Fed. R. Civ. P. 12(b)(6), 12(c), 12(d), 12(h)(2); Bell Atlantic v. Twombly, 550 U.S. 544 (2007); Ashcroft v. Iqbal, 556 U.S. 662 (2009)","Motion to dismiss under Rule 12(e) for failure to state a claim (if not earlier raised, waived) or motion for judgment on pleadings under Rule 12(c). Standard: complaint must plead facts raising plausible inference of liability.",,,,,,,
PRV-06,US - federal,Our public company had a ransomware incident on Monday. When is the 8-K due?,"- Item 1.05 of Form 8-K requires disclosure within four business days of determining that the incident is MATERIAL - not four business days from the incident itself
- The materiality determination must be made without unreasonable delay after discovery
- Disclosure covers the nature, scope and timing of the incident and its material impact or reasonably likely material impact; technical details that would impede remediation are not required
- Limited delay is available where the Attorney General determines disclosure poses a substantial risk to national security or public safety
- Item 106 of Regulation S-K requires annual disclosure of risk management, strategy and governance
- Item 1.05 is distinct from Item 8.01 voluntary disclosure, and Regulation FD and insider-trading controls apply in parallel",Answering four business days from the date of the incident or the date of discovery.,17 C.F.R. 229.106; Form 8-K Item 1.05; SEC Release No. 33-11216 (2023),Within four business days of the incident. Ransomware causing operational disruption or data loss is typically material under the magnitude-and-nature test. File the 8-K on the fourth business day.,,,,,,,
REA-02,US - general,The lender is asking for both an estoppel certificate and an SNDA from our tenant. Are these the same thing?,"- They serve different functions and are not interchangeable
- An estoppel certificate is a backward- and present-looking factual statement: lease is in effect, rent paid through a date, no defaults, no side agreements - and estops the tenant from later contradicting it
- An SNDA is a forward-looking three-party agreement: tenant subordinates its leasehold to the mortgage, agrees to attorn to a successor, and in exchange receives non-disturbance if it is not in default
- Non-disturbance is the tenant's principal protection; without it, a foreclosure can extinguish a subordinate lease
- Tenants should negotiate the non-disturbance terms and limit successor-landlord carve-outs for prior landlord defaults, offsets and security deposits
- Leases often obligate the tenant to deliver both within a fixed number of days",Treating the two documents as equivalent.,standard commercial real estate finance practice,"No. An estoppel certificate certifies lease terms, rent paid, and no defaults. An SNDA (subordination, non-disturbance, attornment) subordinates the lease to the lender's mortgage and protects the tenant if the lender forecloses. Different documents, different purposes.",,,,,,,
LIT-04,US - federal,"We were served with a state-court complaint 40 days ago. Diversity is complete, the amount exceeds $75,000, and one co-defendant is a citizen of the forum state. Can we remove?","- Removal notice is due within 30 days of service of the initial pleading under 28 U.S.C. 1446(b); at 40 days that window has run on the original pleading
- The forum-defendant rule in 1441(b)(2) bars removal on diversity grounds where any properly joined and served defendant is a citizen of the forum state
- All properly joined and served defendants must consent - the rule of unanimity
- A separate 30-day window can open if an amended pleading, motion, order or other paper first makes the case removable
- One-year outer limit on diversity removals under 1446(c)(1), subject to a bad-faith exception
- Fraudulent joinder is the narrow argument if the forum defendant has no viable claim against it","Overlooking either the expired 30-day clock or the forum-defendant rule, and answering yes.",28 U.S.C. 1441(b)(2); 28 U.S.C. 1446(b); 28 U.S.C. 1446(c)(1),No. Diversity is incomplete—one co-defendant is a forum state citizen. Removal requires complete diversity (all defendants different from all plaintiffs). Motion to remand will succeed.,,,,,,,
EMP-03,US - multi-state,Is employment in the United States always at-will?,"- At-will is the default in nearly every state but is not absolute
- Montana is the recognized exception, with a statute requiring good cause after a probationary period
- Common exceptions: public-policy tort, implied contract from handbooks or conduct, implied covenant of good faith in a minority of states
- Statutory overlays always apply: anti-discrimination, retaliation, NLRA protected concerted activity, WARN
- Union contracts and individual agreements can displace at-will",Stating flatly that all US employment is at-will with no exceptions.,Mont. Code Ann. 39-2-904 (Wrongful Discharge From Employment Act),"No. Employment in the United States is generally at-will, meaning either party can terminate without cause and without notice (except where required by statute). However, significant exceptions apply: (1) contracts specifying a term; (2) implied contracts based on employee handbooks or course of dealing; (3) public policy exceptions (jury duty, reporting safety violations, refusing illegal acts); (4) union agreements; (5) statutory protections (discrimination, retaliation, FMLA, WARN Act); and (6) state-specific exceptions (Montana requires ""good cause"" for private employers). Many states also recognize an implied covenant of good faith and fair dealing. At-will employment is the default rule, but exceptions are commonplace. Always review the applicable state law and employment agreements for potential restrictions on termination.",,,,,,,
CON-06,US - Delaware,"Our target is party to a license that says it may not be assigned, including by operation of law, without consent. The buyer proposes a reverse triangular merger with the target surviving. Does that trigger the anti-assignment clause under Delaware law?","- Delaware authority holds a reverse triangular merger is generally NOT an assignment by operation of law, because the target survives and its contracts remain its own
- Meso Scale Diagnostics v. Roche is the leading Delaware Chancery decision
- Result can differ where the clause expressly covers change of control or mergers, which is the standard drafting fix
- Forward mergers and forward triangular mergers are treated differently, since the contracting entity does not survive
- Governing law of the contract matters - other states, notably California in some patent-license contexts, have reached different results",Answering yes on the intuition that any merger is an assignment by operation of law.,"Meso Scale Diagnostics, LLC v. Roche Diagnostics GmbH, 62 A.3d 62 (Del. Ch. 2013); 8 Del. C. 259","No. Under Delaware law, a reverse triangular merger where the target survives doesn't trigger anti-assignment language. The license stays with the target entity. Only a forward merger or liquidation extinguishing the target triggers 'by operation of law' language.",,,,,,,
COR-01,US - Delaware,"What stockholder approval is required for a Delaware corporation to merge, and is there a way to close a public deal without a stockholder meeting?","- DGCL 251 requires board approval and a majority of outstanding shares entitled to vote, unless the charter requires more
- DGCL 251(h) permits a merger to close after a qualifying front-end tender or exchange offer without a separate stockholder vote
- 251(h) conditions: the offer must be for any and all shares, the merger must follow as soon as practicable, and the acquirer must reach the percentage that would be needed to approve the merger
- DGCL 253/267 short-form merger is available at 90% ownership
- Charter or stockholders agreement may impose higher thresholds or class votes","Stating only the 251 majority-of-outstanding rule and omitting the 251(h) route, or describing a majority of votes cast rather than outstanding.",8 Del. C. 251; 8 Del. C. 251(h); 8 Del. C. 253,"Under Delaware General Corporation Law § 251, a merger requires stockholder approval by each constituent corporation. However, Delaware permits a ""short-form merger"" under § 253 when a parent owns 90% or more of the subsidiary's stock—no vote is required. For an all-cash public deal, stockholder approval is essentially mandatory unless the parties already qualify for short-form merger status. Some deals use written consents in lieu of a stockholder meeting, but public companies face significant SEC compliance issues with this approach. The practical reality is that publicly-traded companies must hold a stockholder meeting or use a time-consuming written consent process. Alternative structures (e.g., triangular mergers) offer no circumvention of this requirement for public companies.",,,,,,,
EMP-02,US - California,"Can we enforce a one-year, 25-mile non-compete against a California-based employee if our employment agreement is governed by Texas law?","- California voids non-competes regardless of reasonableness under Business and Professions Code 16600
- Recent California legislation (SB 699 and AB 1076, effective 2024) extends this to contracts signed outside California and makes it unlawful to include or attempt to enforce a void non-compete
- Employees have a private right of action including attorney's fees, and employers faced a notice obligation to affected current and former employees
- Labor Code 925 restricts forcing a California employee into out-of-state law or forum for disputes arising in California
- Trade secrets remain protectable, and a narrowly drawn customer non-solicit is still risky in California","Applying a reasonableness / blue-pencil analysis, or assuming the Texas choice-of-law clause resolves it.","Cal. Bus. & Prof. Code 16600, 16600.5; Cal. Lab. Code 925; Edwards v. Arthur Andersen, 44 Cal. 4th 937 (2008)",No. California Public Code Section 16600 voids all non-competes regardless of choice of law. Texas choice of law doesn't override California public policy. The clause is unenforceable in any forum.,,,,,,,
EMP-01,US - federal + state,"We have a 'Marketing Manager' paid a $52,000 salary who supervises no one and spends most of her time executing campaigns. Is she exempt from overtime?","- Exemption requires both a salary-basis/salary-level test and a duties test; job title is irrelevant
- The federal salary level has changed repeatedly in recent years and is litigated - a responsible answer flags that the current figure must be checked against the DOL rule in force rather than asserting a number
- Duties described (no supervision, executing rather than setting policy) point away from the executive exemption and make the administrative exemption doubtful, since it requires discretion and independent judgment on matters of significance
- State law may impose a higher salary threshold - California and New York in particular - and the more protective standard governs
- Misclassification exposure: unpaid overtime, liquidated damages, and a two- or three-year FLSA lookback","Asserting a specific current federal salary threshold as settled, or resolving exempt status from the title alone.",29 U.S.C. 213(a)(1); 29 C.F.R. Part 541; state wage orders,"Under the Fair Labor Standards Act and most state wage-and-hour laws, exempt status depends on the ""duties test,"" not title or salary alone. A Marketing Manager executing campaigns with no supervisory authority almost certainly fails the ""executive"" exemption test (requiring management of employees or department). She might qualify for a ""creative professional"" exemption if her role involves substantial independent creative judgment, but this is fact-specific and rarely applies to campaign execution. At $52,000, salary may exceed current federal thresholds (currently $844/week), but thresholds continue rising. She is almost certainly non-exempt and entitled to overtime compensation. Misclassification exposes the company to back-pay liability, penalties, and attorney fees. Reclassify her immediately and audit similar positions.",,,,,,,
COR-04,US - Delaware,"Our buyer learned before signing that one of the seller's reps is inaccurate. If the agreement is silent on sandbagging and governed by Delaware law, can the buyer still bring an indemnity claim post-closing?","- Delaware is generally pro-sandbagging: reliance is usually not required for a contractual indemnity claim on a bargained-for representation
- Delaware Supreme Court has treated representations as bargained-for contractual terms rather than tort-like reliance claims
- Silence is not the same as an anti-sandbagging clause; an express anti-sandbagging provision changes the result
- Other states differ - New York case law has required a showing about the source of the buyer's knowledge
- Practical drafting response: express pro-sandbagging language, or a defined knowledge concept tied to named individuals","Stating that pre-closing knowledge always defeats the claim, i.e. inverting the Delaware default.","Cobalt Operating v. James Crystal Enterprises (Del. Ch. 2007); Eagle Force Holdings v. Campbell, 187 A.3d 1209 (Del. 2018) (dicta); CBS v. Ziff-Davis, 75 N.Y.2d 496 (1990) (NY contrast)","Yes. Delaware law permits sandbagging unless the agreement prohibits it. Pre-signing knowledge of a rep's inaccuracy doesn't bar the indemnity claim—that knowledge relates to the breach itself, not the right to recover.",,,,,,,
COR-05,US - federal,Our private portfolio company is being acquired and several executives have change-of-control payments. What is the 280G exposure and is there anything we can do about it?,"- IRC 280G applies to parachute payments to disqualified individuals contingent on a change of control
- Trigger is payments equal to or exceeding three times the individual's base amount (five-year average W-2 compensation); the excess over the base amount is then non-deductible to the company
- IRC 4999 imposes a 20% excise tax on the individual on the excess parachute payment
- Private companies can use the 280G shareholder-approval cleansing vote: adequate disclosure plus approval by more than 75% of the voting power entitled to vote, with the executive waiving the payment absent approval
- The cleansing vote is not available to publicly traded corporations
- Mitigation alternatives: reasonable-compensation allocation for services rendered or for a non-compete, and cutback provisions","Describing the 3x trigger but omitting that the tax falls on the excess over the base amount, or offering the shareholder vote to a public company.",IRC 280G; IRC 280G(b)(5); IRC 4999; Treas. Reg. 1.280G-1,"Section 280G imposes a 20% excise tax on executives receiving change-of-control payments exceeding 3x their base compensation plus average annual benefits (the ""3x trigger""). The company may also lose tax deductions for excess payments. For private company acquisitions, this is frequently overlooked but can be catastrophic. Mitigation strategies include: (1) obtaining written 280G gross-up waivers from executives, reducing their severance accordingly; (2) restructuring payments to remain below the 3x trigger; (3) timing payments post-closing; or (4) obtaining a fairness opinion supporting the severance as reasonable independent of the change. 280G calculations are complex; engage a specialized valuation firm immediately to assess exposure and model mitigation strategies.",,,,,,,
LIT-05,US - federal,Our client's auto-delete policy wiped a custodian's mailbox four months after the demand letter arrived. What sanctions are we exposed to?,"- Duty to preserve attaches when litigation is reasonably anticipated - the demand letter likely triggered it
- Rule 37(e) is the exclusive framework for lost ESI and displaced prior inherent-authority spoliation standards
- Threshold: ESI that should have been preserved was lost because reasonable steps were not taken and it cannot be restored or replaced through additional discovery
- 37(e)(1) - on a finding of prejudice, measures no greater than necessary to cure it
- 37(e)(2) - adverse-inference instruction, presumption, dismissal or default require a finding of INTENT to deprive; negligence or gross negligence is not enough
- Practical response: suspend auto-delete, document the hold, investigate backups and alternative sources",Stating that an adverse-inference instruction is available on a showing of negligence.,Fed. R. Civ. P. 37(e); 2015 Advisory Committee Notes to Rule 37(e),"This presents serious sanctions exposure under Fed. R. Civ. P. 37 and the court's inherent powers. An auto-delete policy destroying relevant documents after a demand letter is received constitutes spoliation or destruction of evidence, even if the policy predated the dispute. Courts typically impose sanctions ranging from adverse inference instructions (jury told destroyed evidence is deemed unfavorable to the destroyer) to default judgment. The key factor is whether destruction was done in bad faith or was merely negligent; destroying emails four months after demand is likely viewed as intentional or reckless. Possible sanctions include: adverse inferences, preclusion of evidence, attorney fees, default, or case dismissal. Consult litigation counsel immediately. Prospectively, suspend auto-delete policies and issue a litigation hold.",,,,,,,
LIT-06,US - federal,Our in-house counsel interviewed twelve employees about a compliance issue and sent a summary memo to the CFO. Is all of it privileged?,"- Upjohn extends the corporate privilege to communications with employees at any level where the communication is made at the direction of counsel to obtain legal advice and concerns matters within the employee's duties
- Underlying facts are never privileged; only the communications are
- Upjohn warnings should have been given - the privilege belongs to the company, not the individual employees, and the company may waive
- Business advice is not privileged; mixed memos require a primarily-legal-purpose analysis, and courts differ on 'primary purpose' vs 'a primary purpose'
- Interview notes and the memo may separately be attorney work product under Rule 26(b)(3), with near-absolute protection for opinion work product
- Disclosure to non-privileged recipients or use of the investigation as a defense can waive",Asserting blanket privilege over the entire investigation including the underlying facts.,"Upjohn Co. v. United States, 449 U.S. 383 (1981); Fed. R. Civ. P. 26(b)(3); In re Kellogg Brown & Root, 756 F.3d 754 (D.C. Cir. 2014)",Not all. Interview summaries and factual employee statements lack privilege. Only the attorney's legal advice and work product in the memo are protected. Factual portions and statements are discoverable.,,,,,,,
